From	To
P22223	ENSG00000062038
Q86WU2	ENSG00000166816
Q96A32	ENSG00000180209
P53602	ENSG00000167508
Q9P2J9	ENSG00000172840
O15530	ENSG00000140992
Q8NCN5	ENSG00000090857
Q9BSU1	ENSG00000125149
Q8IXQ8	ENSG00000155714
Q8IXQ8	ENSG00000284316
Q6P996	ENSG00000179889
Q6P996	ENSG00000275498
O60437	ENSG00000118898
Q13951	ENSG00000067955
Q9HCN3	ENSG00000129925
P15735	ENSG00000156873
Q7Z442	ENSG00000166473
Q7Z443	ENSG00000277481
P53350	ENSG00000166851
Q9Y342	ENSG00000102934
Q5K4E3	ENSG00000178226
Q9BQR3	ENSG00000172382
Q3KNW1	ENSG00000185669
P62244	ENSG00000134419
Q13425	ENSG00000168807
O15047	ENSG00000099381
Q8WWL2	ENSG00000204991
Q969X6	ENSG00000141076
Q969X6	ENSG00000262788
P61421	ENSG00000159720
P07911	ENSG00000169344
O60291	ENSG00000102858
Q12980	ENSG00000103148
E5RHQ5	ENSG00000254206
Q92617	ENSG00000169246
Q6VN20	ENSG00000141084
Q9H5N1	ENSG00000177548
Q9BSW7	ENSG00000103528
P04731	ENSG00000205362
O95255	ENSG00000091262
O95255	ENSG00000275331
Q9NVC3	ENSG00000103042
Q8WYJ6	ENSG00000180096
Q8TEQ0	ENSG00000048471
O43761	ENSG00000127561
Q6Q0C0	ENSG00000131653
Q12931	ENSG00000126602
Q8WW62	ENSG00000157315
Q6ZMU5	ENSG00000177238
Q8TB96	ENSG00000129636
Q9BRJ7	ENSG00000168101
Q96A99	ENSG00000251692
Q96DX4	ENSG00000159579
P82930	ENSG00000074071
O15524	ENSG00000185338
B4DS77	ENSG00000237515
Q7Z614	ENSG00000167208
P35346	ENSG00000162009
P50225	ENSG00000196502
Q96A37	ENSG00000158717
P23975	ENSG00000103546
Q13084	ENSG00000086504
Q52WX2	ENSG00000188322
A6NKX4	ENSG00000259803
Q15393	ENSG00000189091
Q9BSN7	ENSG00000131634
Q96Q15	ENSG00000157106
Q9NRF2	ENSG00000178188
Q8IY92	ENSG00000188827
Q71RH2	ENSG00000149926
Q6NT04	ENSG00000140993
Q8IUW3	ENSG00000158792
Q8N339	ENSG00000205364
P50226	ENSG00000197165
Q05952	ENSG00000178279
Q02127	ENSG00000102967
Q9ULW5	ENSG00000167964
Q9NSC2	ENSG00000103449
Q6UXD5	ENSG00000174938
A0A1W2PPK0	ENSG00000284484
P19784	ENSG00000070770
Q66K89	ENSG00000167967
P30519	ENSG00000103415
P30519	ENSG00000277424
Q9Y4F3	ENSG00000166783
Q9Y4F3	ENSG00000277140
Q96L46	ENSG00000256812
Q9H7Z6	ENSG00000103510
Q15011	ENSG00000051108
Q9ULV5	ENSG00000102878
P00738	ENSG00000257017
Q1X8D7	ENSG00000159708
Q96A59	ENSG00000140832
Q9BUT9	ENSG00000172366
P56270	ENSG00000103495
Q96BJ8	ENSG00000102890
Q9UPT6	ENSG00000138834
Q2QL34	ENSG00000156968
Q2QL34	ENSG00000275543
Q9BVG8	ENSG00000140859
Q08AH1	ENSG00000166743
Q68EN5	ENSG00000196123
P05771	ENSG00000166501
Q02556	ENSG00000140968
O15553	ENSG00000103313
Q8NEP3	ENSG00000154099
P15170	ENSG00000103342
Q8N0W3	ENSG00000157353
P80404	ENSG00000183044
Q3SXM5	ENSG00000103160
O60303	ENSG00000047578
Q8TF09	ENSG00000168589
Q8TD57	ENSG00000158486
O15360	ENSG00000187741
Q5XUX0	ENSG00000103264
Q16775	ENSG00000063854
P69905	ENSG00000188536
P69905	ENSG00000206172
Q9Y661	ENSG00000182601
Q9BVA0	ENSG00000140854
P78411	ENSG00000176842
P31146	ENSG00000102879
P13498	ENSG00000051523
Q6GPI1	ENSG00000168928
P40313	ENSG00000141086
Q9H773	ENSG00000179958
P20702	ENSG00000140678
O43303	ENSG00000103540
Q9NUU7	ENSG00000168872
Q6PII5	ENSG00000103253
Q6UXU4	ENSG00000169181
Q9BW71	ENSG00000149929
A0A1B0GVX0	ENSG00000283516
O14561	ENSG00000004779
P07741	ENSG00000198931
Q9NXV2	ENSG00000167977
O43325	ENSG00000102897
O60936	ENSG00000140939
Q9BTE1	ENSG00000166847
P0CJ71	ENSG00000232196
O75444	ENSG00000178573
O00634	ENSG00000162068
Q12968	ENSG00000072736
Q3L8U1	ENSG00000177200
Q9H9E3	ENSG00000103051
Q9NZH0	ENSG00000167191
P78412	ENSG00000159387
Q14703	ENSG00000140943
Q6B0K9	ENSG00000206177
Q8NBZ0	ENSG00000169592
Q9UIC8	ENSG00000205629
O94916	ENSG00000102908
B5ME19	ENSG00000205609
P09471	ENSG00000087258
P02795	ENSG00000125148
Q9Y5Y2	ENSG00000095906
F8WFD2	ENSG00000224712
O95371	ENSG00000168158
Q6UWD8	ENSG00000185905
O00748	ENSG00000172831
P35637	ENSG00000089280
Q68CZ1	ENSG00000103494
P56945	ENSG00000050820
P22676	ENSG00000172137
P22676	ENSG00000282830
Q6ZTR7	ENSG00000153789
P12830	ENSG00000039068
Q6PRD7	ENSG00000205923
Q6FI81	ENSG00000005194
P80297	ENSG00000187193
P07438	ENSG00000169688
Q9Y6A4	ENSG00000070761
Q15131	ENSG00000185324
Q92583	ENSG00000102970
Q14028	ENSG00000070729
