From	To
Q96MP8	ENSG00000243335
Q2M2H8	ENSG00000257743
Q2M2H8	ENSG00000278563
O94880	ENSG00000106443
P15259	ENSG00000164708
Q16816	ENSG00000164776
Q86TG7	ENSG00000242265
Q14123	ENSG00000154678
Q9Y6V0	ENSG00000186472
Q15113	ENSG00000106333
P04085	ENSG00000197461
Q9HCM2	ENSG00000221866
Q8TDX9	ENSG00000158683
Q96NK8	ENSG00000164600
O00483	ENSG00000189043
Q16718	ENSG00000128609
Q16864	ENSG00000128524
Q9UL63	ENSG00000128585
Q9UI43	ENSG00000122687
Q9Y5A7	ENSG00000013374
O96001	ENSG00000106341
O95007	ENSG00000221813
O95007	ENSG00000284939
Q8N7R1	ENSG00000221900
A4D1S5	ENSG00000146955
Q16654	ENSG00000004799
C9J798	ENSG00000170667
Q9UJ41	ENSG00000154710
P63000	ENSG00000136238
O43374	ENSG00000105808
A4D1T9	ENSG00000165076
P35244	ENSG00000106399
Q9GZM3	ENSG00000228049
Q9H1A7	ENSG00000168255
P49848	ENSG00000106290
Q9NYW5	ENSG00000127364
Q9NYW4	ENSG00000127366
Q16563	ENSG00000008282
Q9BXJ8	ENSG00000189077
Q9UKN1	ENSG00000205277
Q99551	ENSG00000127989
O95178	ENSG00000090266
Q9NRJ5	ENSG00000218823
Q8N3G9	ENSG00000166448
Q9Y5X2	ENSG00000106266
Q15465	ENSG00000164690
P60896	ENSG00000127922
Q86XT4	ENSG00000146755
Q9BRZ2	ENSG00000169871
Q7Z7H5	ENSG00000158604
Q86UV7	ENSG00000178809
Q7L0X0	ENSG00000255690
Q9BVT8	ENSG00000164897
Q9C037	ENSG00000146833
A6NIY4	ENSG00000170092
P0CI01	ENSG00000260097
Q6PCB5	ENSG00000187257
Q9Y2R5	ENSG00000239789
Q96EL2	ENSG00000062582
Q96NL0	ENSG00000105784
Q9Y291	ENSG00000090263
O60568	ENSG00000106397
Q8TBP6	ENSG00000075303
Q5K651	ENSG00000205413
Q7KZF4	ENSG00000197157
Q99985	ENSG00000075223
Q14563	ENSG00000075213
A6NKU9	ENSG00000214300
Q9NQA5	ENSG00000127412
O95859	ENSG00000106025
Q9Y4A5	ENSG00000196367
O95857	ENSG00000106537
O95772	ENSG00000010270
Q9ULQ0	ENSG00000128578
Q9UHE8	ENSG00000164647
Q1RMZ1	ENSG00000164603
Q9BYC8	ENSG00000106591
Q9Y5W8	ENSG00000071189
Q5HYL7	ENSG00000173452
Q96HN2	ENSG00000158467
A6NHP3	ENSG00000173678
A0A0J9YXA8	ENSG00000282320
A0A0J9YX06	ENSG00000281989
A0A0J9YX06	ENSG00000282420
A0A0J9YWP8	ENSG00000282133
A0A0J9YWP8	ENSG00000282500
A0A0J9YXG5	ENSG00000281958
A0A0J9YXG5	ENSG00000282273
A0A0J9YXM7	ENSG00000282215
A0A0J9YXM7	ENSG00000282173
A0A0J9YWX3	ENSG00000281957
A0A0J9YWX3	ENSG00000282780
A0A0A0MTA7	ENSG00000211764
A0A0A0MTA7	ENSG00000282488
A0A0B4J200	ENSG00000211767
A0A0B4J200	ENSG00000282371
A0A0A0MT78	ENSG00000211771
P20366	ENSG00000006128
Q05209	ENSG00000127947
Q96QR8	ENSG00000146676
Q9BZW2	ENSG00000081800
Q9BXP5	ENSG00000087087
Q8NFT2	ENSG00000157214
Q9NRC1	ENSG00000004866
Q9BXU1	ENSG00000196335
Q8IV56	ENSG00000176532
Q9NWF9	ENSG00000011275
Q8IVG5	ENSG00000177409
Q9NUM4	ENSG00000106460
Q04837	ENSG00000106028
Q04837	ENSG00000262771
Q9Y6J8	ENSG00000127952
P59535	ENSG00000221937
P08684	ENSG00000160868
O95302	ENSG00000122642
Q9UKV0	ENSG00000048052
O95777	ENSG00000128534
Q8N8F7	ENSG00000181016
Q9HBW1	ENSG00000128594
A4D1F6	ENSG00000240720
Q9H3W5	ENSG00000173114
Q9UFC0	ENSG00000161036
Q86UL8	ENSG00000187391
Q9P1T7	ENSG00000135272
P40926	ENSG00000146701
Q6PJG6	ENSG00000106009
Q9Y2Q3	ENSG00000197448
Q13442	ENSG00000106244
Q9UHL9	ENSG00000006704
P78347	ENSG00000263001
A4D1E9	ENSG00000105793
P14210	ENSG00000019991
Q8N6Y2	ENSG00000128606
Q8IWU2	ENSG00000164715
Q9Y4Y9	ENSG00000106355
Q96EH3	ENSG00000156928
O00425	ENSG00000136231
P40617	ENSG00000122644
P55884	ENSG00000106263
P63096	ENSG00000127955
Q99527	ENSG00000164850
Q8NA54	ENSG00000164675
P31323	ENSG00000005249
P31323	ENSG00000284096
P50219	ENSG00000130675
P61981	ENSG00000170027
Q9P2G1	ENSG00000001629
Q9UIG0	ENSG00000009954
Q8WXQ8	ENSG00000158525
Q53H12	ENSG00000006530
Q53H12	ENSG00000262327
O95050	ENSG00000241644
Q8IY47	ENSG00000170852
Q13554	ENSG00000058404
Q8IXQ5	ENSG00000122550
P31321	ENSG00000188191
P52757	ENSG00000106069
Q6IS24	ENSG00000185274
P0CJ73	ENSG00000270672
P0CJ73	ENSG00000282017
Q6P5Q4	ENSG00000170807
Q9BYI3	ENSG00000122591
Q14956	ENSG00000136235
Q16658	ENSG00000075618
O75420	ENSG00000146830
Q96T52	ENSG00000184903
A5PL33	ENSG00000133619
A4D0S4	ENSG00000091128
P53667	ENSG00000106683
Q9Y6H1	ENSG00000106153
O75128	ENSG00000106078
Q8WVS4	ENSG00000126870
Q86UW9	ENSG00000091073
A4D1Z8	ENSG00000275572
Q9BSE4	ENSG00000122557
P20839	ENSG00000106348
P36639	ENSG00000106268
Q9UBU7	ENSG00000006634
A6NCM1	ENSG00000278685
Q6ZRS4	ENSG00000180347
A4D0V7	ENSG00000106034
A0FGR8	ENSG00000117868
Q96RJ6	ENSG00000146618
Q75N03	ENSG00000105879
A4D2P6	ENSG00000215045
Q8IZD2	ENSG00000005483
Q8NES3	ENSG00000106003
Q9Y5L2	ENSG00000135245
Q8IZ16	ENSG00000185955
P08183	ENSG00000085563
Q6ZN28	ENSG00000183742
Q6P1Q9	ENSG00000165055
Q9GZY6	ENSG00000086730
Q92823	ENSG00000091129
Q15910	ENSG00000106462
Q14314	ENSG00000127951
Q8WUU5	ENSG00000157259
Q5C9Z4	ENSG00000146909
P53004	ENSG00000106605
Q96PB1	ENSG00000127995
Q13185	ENSG00000122565
Q71UI9	ENSG00000105968
Q86UP8	ENSG00000196275
Q99680	ENSG00000172209
Q99680	ENSG00000283812
Q9Y4A8	ENSG00000050344
Q9NY93	ENSG00000136271
P41159	ENSG00000174697
Q0VGL1	ENSG00000188186
A6NF83	ENSG00000185290
