From	To
Q3LI59	ENSG00000187026
O00764	ENSG00000160209
O76083	ENSG00000160191
O95613	ENSG00000160299
P48539	ENSG00000183036
P41440	ENSG00000173638
Q5DID0	ENSG00000177398
O43426	ENSG00000159082
O15393	ENSG00000184012
P57727	ENSG00000160183
Q13009	ENSG00000156299
P82932	ENSG00000243927
Q01196	ENSG00000159216
Q9NSI8	ENSG00000155307
A8MWV9	ENSG00000243627
Q9NVD3	ENSG00000185917
P56557	ENSG00000142188
P56557	ENSG00000263160
P48553	ENSG00000160218
Q9H0A9	ENSG00000160284
Q9H0A9	ENSG00000274679
Q03403	ENSG00000160181
P58499	ENSG00000183844
Q06546	ENSG00000154727
Q9BY71	ENSG00000160233
P57077	ENSG00000156265
Q99712	ENSG00000157551
P45844	ENSG00000160179
O43918	ENSG00000160224
Q15811	ENSG00000205726
P05107	ENSG00000160255
P57087	ENSG00000154721
Q6PEX3	ENSG00000197683
Q52LG2	ENSG00000182816
Q8IUC3	ENSG00000274749
Q8IUC0	ENSG00000198390
Q3LHN1	ENSG00000231068
Q3MIV0	ENSG00000186924
P11308	ENSG00000157554
Q3LI64	ENSG00000184724
Q9NSI5	ENSG00000183067
Q08334	ENSG00000243646
P17181	ENSG00000142166
Q9Y2C3	ENSG00000183778
Q9NYP8	ENSG00000205929
Q9NYP8	ENSG00000262938
P60411	ENSG00000221837
Q9NX36	ENSG00000177692
Q9NX36	ENSG00000262911
P60368	ENSG00000205445
Q6XZB0	ENSG00000188992
Q9UHI8	ENSG00000154734
P78310	ENSG00000154639
P58505	ENSG00000160298
P35520	ENSG00000160200
P56750	ENSG00000156282
Q3LI67	ENSG00000212938
P60413	ENSG00000189169
P59990	ENSG00000187175
Q3LI73	ENSG00000186967
Q9NYP9	ENSG00000159055
P04080	ENSG00000160213
P98073	ENSG00000154646
Q9UNA0	ENSG00000154736
Q14689	ENSG00000160305
P05114	ENSG00000205581
B9A014	ENSG00000222018
P58658	ENSG00000166979
Q14201	ENSG00000154640
P48723	ENSG00000155304
P39086	ENSG00000171189
Q9Y6J6	ENSG00000159197
P39060	ENSG00000182871
Q96J86	ENSG00000166265
P57057	ENSG00000160190
O60318	ENSG00000160294
P16152	ENSG00000159228
P38484	ENSG00000159128
P38484	ENSG00000262795
Q8TAK6	ENSG00000184221
Q9NSI6	ENSG00000185658
P60371	ENSG00000188155
Q3SY46	ENSG00000240432
Q3LI62	ENSG00000206105
P56181	ENSG00000160194
Q13516	ENSG00000205927
P57721	ENSG00000183570
P57058	ENSG00000142149
P48551	ENSG00000159110
P15382	ENSG00000180509
Q3LI60	ENSG00000206104
P60409	ENSG00000272804
P60328	ENSG00000205439
Q3LI70	ENSG00000186925
O15394	ENSG00000154654
O14867	ENSG00000156273
P0DPI2	ENSG00000160221
P55347	ENSG00000160199
Q8IUC2	ENSG00000183640
Q3LI72	ENSG00000186977
Q3LI58	ENSG00000187005
P48449	ENSG00000160285
P60014	ENSG00000221859
Q3LI68	ENSG00000206106
Q3LHN2	ENSG00000186965
Q3LI54	ENSG00000206102
Q9Y5B6	ENSG00000159086
Q9Y5B6	ENSG00000263141
Q3LI83	ENSG00000188694
A1A580	ENSG00000186980
Q3LI66	ENSG00000186930
Q3LI61	ENSG00000184032
O95456	ENSG00000183527
O95500	ENSG00000159261
Q13112	ENSG00000159259
Q9Y426	ENSG00000157617
P60412	ENSG00000243489
Q7Z4W3	ENSG00000244025
P18583	ENSG00000159140
P57071	ENSG00000141956
P48552	ENSG00000180530
P20592	ENSG00000183486
P57059	ENSG00000142178
P58511	ENSG00000205670
Q14190	ENSG00000159263
Q9NYK5	ENSG00000154719
P57054	ENSG00000185808
Q14684	ENSG00000160208
Q86YR6	ENSG00000166351
P57078	ENSG00000183421
P57060	ENSG00000156253
P53801	ENSG00000183255
Q9NSI2	ENSG00000160256
P78563	ENSG00000197381
O95104	ENSG00000156304
P00441	ENSG00000142168
M5A8F1	ENSG00000233056
Q8WYR4	ENSG00000160188
P04271	ENSG00000160307
P50990	ENSG00000156261
P56182	ENSG00000160214
P60604	ENSG00000184787
Q9Y5T5	ENSG00000156256
Q8WU66	ENSG00000175894
Q15269	ENSG00000241945
P55822	ENSG00000185437
Q14149	ENSG00000159256
Q9UJW3	ENSG00000142182
P60329	ENSG00000212933
P60372	ENSG00000215454
Q3LI77	ENSG00000186971
Q9NRZ7	ENSG00000160216
P60410	ENSG00000187766
P53794	ENSG00000198743
Q9UHP3	ENSG00000155313
Q9Y2G5	ENSG00000186866
P55854	ENSG00000184900
Q07654	ENSG00000160180
P22102	ENSG00000159131
P22102	ENSG00000262473
P04155	ENSG00000160182
P58557	ENSG00000182362
Q8TDR4	ENSG00000242220
P57081	ENSG00000160193
P53804	ENSG00000182670
O14972	ENSG00000157538
P59991	ENSG00000221864
O94759	ENSG00000142185
P20591	ENSG00000157601
P57075	ENSG00000160185
Q01081	ENSG00000160201
P56180	ENSG00000274391
Q9ULJ3	ENSG00000173276
P18859	ENSG00000154723
Q3LI81	ENSG00000206107
Q8IUC1	ENSG00000182591
Q3LI63	ENSG00000244624
O60287	ENSG00000142207
P17858	ENSG00000141959
P53805	ENSG00000159200
P57052	ENSG00000185272
O95825	ENSG00000205758
Q9Y5Z0	ENSG00000182240
O95954	ENSG00000160282
O75144	ENSG00000160223
P60369	ENSG00000212935
Q9Y5N5	ENSG00000156239
P57053	ENSG00000234289
O95447	ENSG00000157578
P60370	ENSG00000241123
Q3SYF9	ENSG00000244362
Q8IUB9	ENSG00000184351
Q3LI76	ENSG00000186970
Q8TCY5	ENSG00000170262
O75031	ENSG00000160207
P02489	ENSG00000160202
P48051	ENSG00000157542
Q3LHN0	ENSG00000232263
