From	To
O60885	ENSG00000141867
Q9Y3X0	ENSG00000105321
P0C6S8	ENSG00000220008
Q8N344	ENSG00000105556
P12955	ENSG00000124299
P34995	ENSG00000160951
Q6ZS72	ENSG00000188305
Q9NZ42	ENSG00000205155
Q9GZU2	ENSG00000198300
P27815	ENSG00000065989
Q08493	ENSG00000105650
Q6UW60	ENSG00000115257
O14737	ENSG00000105185
Q9BRP1	ENSG00000126249
Q8IVA1	ENSG00000174788
Q9BX97	ENSG00000130300
O60664	ENSG00000105355
Q96Q06	ENSG00000167676
Q00G26	ENSG00000214456
P43119	ENSG00000160013
Q496M5	ENSG00000185988
A6NLU0	ENSG00000223638
O95136	ENSG00000267534
Q9BVK8	ENSG00000105677
Q9UGK3	ENSG00000178078
Q8IX01	ENSG00000064607
B3KS81	ENSG00000226763
Q8IVT2	ENSG00000099812
Q99742	ENSG00000130751
Q6IFN5	ENSG00000237521
Q96RQ9	ENSG00000104951
O95716	ENSG00000105514
P61018	ENSG00000167578
Q9NYR8	ENSG00000080511
Q86YV0	ENSG00000105122
P43686	ENSG00000013275
P43686	ENSG00000281221
Q8NBN7	ENSG00000160439
Q8NBN7	ENSG00000276341
Q8NBN7	ENSG00000274504
Q8NBN7	ENSG00000276684
Q8NBN7	ENSG00000275474
Q8NBN7	ENSG00000276826
Q8NBN7	ENSG00000278149
Q8NBN7	ENSG00000273944
Q8NBN7	ENSG00000274418
Q8NBN7	ENSG00000278284
F8VTS6	ENSG00000229292
Q8N205	ENSG00000181392
Q9BQG1	ENSG00000213023
O00445	ENSG00000129990
P21731	ENSG00000006638
Q71SY5	ENSG00000104973
Q16674	ENSG00000261857
P40429	ENSG00000142541
Q8N5S1	ENSG00000181240
P51532	ENSG00000127616
Q8NBT3	ENSG00000167619
Q9BRG2	ENSG00000125731
Q5PRF9	ENSG00000179134
Q9Y566	ENSG00000161681
Q9H0W8	ENSG00000105771
Q9NYZ4	ENSG00000105366
Q9Y336	ENSG00000129450
A0A2R8Y7D0	ENSG00000223573
Q13445	ENSG00000099203
Q96A98	ENSG00000142538
Q7Z410	ENSG00000178297
O14669	ENSG00000126460
Q96BF3	ENSG00000167664
Q6UWY2	ENSG00000185198
Q9BTD8	ENSG00000126254
Q02543	ENSG00000105640
Q9Y230	ENSG00000183207
O15235	ENSG00000128626
O15235	ENSG00000283018
O75298	ENSG00000125744
Q96RI0	ENSG00000127533
Q9H7P9	ENSG00000090924
Q8WWY3	ENSG00000105618
Q8WWY3	ENSG00000275885
Q9UI14	ENSG00000105404
P0C264	ENSG00000231274
Q9BV35	ENSG00000125648
O43557	ENSG00000125735
A6NL88	ENSG00000187902
P19429	ENSG00000129991
P98077	ENSG00000129946
Q9NRA0	ENSG00000063176
P23327	ENSG00000130528
Q9UJT2	ENSG00000126467
Q96QH2	ENSG00000133246
Q13046	ENSG00000221878
P62987	ENSG00000221983
Q9Y2P5	ENSG00000083807
Q9H6F2	ENSG00000072954
Q6UW68	ENSG00000105518
Q8WVP5	ENSG00000185361
Q9BZW4	ENSG00000213996
Q99961	ENSG00000141985
Q9NUL5	ENSG00000130813
Q86VD7	ENSG00000181035
Q15428	ENSG00000104897
Q9NX00	ENSG00000130748
P54920	ENSG00000105402
P63302	ENSG00000178980
Q8N7X8	ENSG00000179213
Q8TCT7	ENSG00000005206
Q01892	ENSG00000269404
Q13263	ENSG00000130726
Q9H4M7	ENSG00000105559
Q8WXF3	ENSG00000171136
Q8WXF3	ENSG00000288474
Q9BWG4	ENSG00000130511
Q92900	ENSG00000005007
P19388	ENSG00000099817
P0C263	ENSG00000187550
O14843	ENSG00000185897
P51993	ENSG00000156413
Q9NZL4	ENSG00000133265
O75074	ENSG00000130881
O75145	ENSG00000177380
Q8N135	ENSG00000153902
Q8ND56	ENSG00000257103
Q8ND56	ENSG00000262860
P01229	ENSG00000104826
P20916	ENSG00000105695
Q66K74	ENSG00000130479
Q9P0N8	ENSG00000099785
Q567V2	ENSG00000254858
Q9H324	ENSG00000142303
Q0VDD7	ENSG00000132016
Q0VDD7	ENSG00000288152
C9J6K1	ENSG00000235034
Q6UUV9	ENSG00000105662
P43630	ENSG00000240403
P43630	ENSG00000278809
P43630	ENSG00000278474
P43630	ENSG00000277181
P43630	ENSG00000274722
P43630	ENSG00000278442
P43630	ENSG00000275566
P43630	ENSG00000276357
P43630	ENSG00000275083
P43630	ENSG00000278361
P43630	ENSG00000276739
P43630	ENSG00000275626
P43630	ENSG00000275416
P43630	ENSG00000276004
P43630	ENSG00000284381
P43630	ENSG00000283951
P43630	ENSG00000283975
P43630	ENSG00000284063
O60259	ENSG00000129455
P51124	ENSG00000197540
Q96Q04	ENSG00000142235
Q8N386	ENSG00000175489
Q9Y4Z0	ENSG00000130520
Q96L34	ENSG00000007047
P42679	ENSG00000007264
Q02779	ENSG00000130758
Q9Y2H9	ENSG00000105613
O60307	ENSG00000099308
Q6ZN01	ENSG00000176909
Q96EY5	ENSG00000141971
P13637	ENSG00000105409
P51911	ENSG00000130176
Q96B18	ENSG00000197380
P08246	ENSG00000197561
P08246	ENSG00000277571
Q96SI1	ENSG00000153885
P43626	ENSG00000125498
P43626	ENSG00000278738
P43626	ENSG00000273794
P43626	ENSG00000278821
P43626	ENSG00000276625
P43626	ENSG00000277833
P43626	ENSG00000278495
P43627	ENSG00000275546
P43627	ENSG00000276731
P43627	ENSG00000278731
P43627	ENSG00000275914
P43627	ENSG00000275407
P43627	ENSG00000276011
P43628	ENSG00000243772
P43628	ENSG00000274830
P43628	ENSG00000276218
P43628	ENSG00000277484
P43628	ENSG00000276590
P43628	ENSG00000278327
P43628	ENSG00000277554
P43628	ENSG00000275658
P43628	ENSG00000273887
P43628	ENSG00000274952
P43628	ENSG00000274410
P43628	ENSG00000275008
P43628	ENSG00000274108
P43628	ENSG00000275623
P43628	ENSG00000274402
P43628	ENSG00000277317
P43628	ENSG00000277924
P43628	ENSG00000276459
P43628	ENSG00000284333
P43628	ENSG00000283708
P43628	ENSG00000283702
P43628	ENSG00000283790
P43628	ENSG00000284504
P43628	ENSG00000284510
Q99706	ENSG00000189013
Q99706	ENSG00000274232
Q99706	ENSG00000275456
Q99706	ENSG00000275317
Q99706	ENSG00000277362
Q99706	ENSG00000277750
Q99706	ENSG00000273575
Q99706	ENSG00000278271
Q99706	ENSG00000278430
Q99706	ENSG00000276044
Q99706	ENSG00000278074
Q99706	ENSG00000274609
Q99706	ENSG00000276779
Q99706	ENSG00000274955
Q99706	ENSG00000277964
Q99706	ENSG00000275699
Q99706	ENSG00000284460
Q99706	ENSG00000284365
Q99706	ENSG00000284013
Q99706	ENSG00000283961
Q99706	ENSG00000283869
Q99706	ENSG00000284509
Q9UNX9	ENSG00000182324
Q96RP8	ENSG00000104848
P06870	ENSG00000167748
O43240	ENSG00000129451
Q9H2R5	ENSG00000174562
Q9NZM4	ENSG00000063169
Q9BX70	ENSG00000133243
O95996	ENSG00000115266
Q8NAG6	ENSG00000160117
Q9P296	ENSG00000134830
P51693	ENSG00000105290
Q6UWB1	ENSG00000104998
Q6UWB1	ENSG00000288185
Q96AB3	ENSG00000063241
Q6P597	ENSG00000104892
Q6UWL6	ENSG00000126259
Q9BZL6	ENSG00000105287
Q8TDC3	ENSG00000160469
Q03252	ENSG00000176619
Q8N109	ENSG00000274676
Q8N109	ENSG00000274143
Q8N109	ENSG00000275596
Q9UQ10	ENSG00000104808
A6NLW8	ENSG00000258873
Q8TF64	ENSG00000179855
P50548	ENSG00000105722
P49840	ENSG00000105723
Q9Y421	ENSG00000105058
Q96DB9	ENSG00000089327
Q9P0W2	ENSG00000064961
P06744	ENSG00000105220
Q9UFG5	ENSG00000119559
Q9NP86	ENSG00000105507
Q96EP5	ENSG00000071626
A6NFQ7	ENSG00000204595
P28340	ENSG00000062822
Q9UBQ5	ENSG00000178982
Q9UBQ5	ENSG00000282986
O95834	ENSG00000125746
P46093	ENSG00000177464
Q7Z4V5	ENSG00000167674
P49771	ENSG00000090554
Q9BSK4	ENSG00000141965
Q9BTP7	ENSG00000131944
P53539	ENSG00000125740
A0A1W2PPG7	ENSG00000283980
O60262	ENSG00000176533
Q12906	ENSG00000129351
P05981	ENSG00000105707
Q6B9Z1	ENSG00000204869
Q99873	ENSG00000126457
P54852	ENSG00000142227
A6NJJ6	ENSG00000188032
A6NJJ6	ENSG00000288239
Q9HCN6	ENSG00000088053
Q9HCN6	ENSG00000277439
Q6UXB1	ENSG00000188624
Q8WUF5	ENSG00000104881
Q969Y2	ENSG00000130299
Q6P4F2	ENSG00000267673
P24071	ENSG00000186431
P24071	ENSG00000275136
P24071	ENSG00000275269
P24071	ENSG00000276858
P24071	ENSG00000275970
P24071	ENSG00000273738
P24071	ENSG00000275564
P24071	ENSG00000276985
P24071	ENSG00000274580
P24071	ENSG00000278415
P24071	ENSG00000284061
P24071	ENSG00000283953
P24071	ENSG00000284245
P24071	ENSG00000284004
P24071	ENSG00000283750
P22087	ENSG00000105202
P22087	ENSG00000280548
Q75N90	ENSG00000142449
Q14653	ENSG00000126456
P13807	ENSG00000104812
P17275	ENSG00000171223
Q99856	ENSG00000116017
P02649	ENSG00000130203
O94953	ENSG00000127663
P55344	ENSG00000105370
Q99687	ENSG00000105419
O96009	ENSG00000131400
Q02818	ENSG00000104805
Q9NSA1	ENSG00000105550
P58549	ENSG00000221946
Q9UK08	ENSG00000167414
Q9P107	ENSG00000089639
Q8N423	ENSG00000131042
Q8N423	ENSG00000276146
Q8N423	ENSG00000275463
Q8N423	ENSG00000274513
Q86XN8	ENSG00000181588
Q6NUT3	ENSG00000161091
Q9Y4A9	ENSG00000186723
Q16543	ENSG00000105401
Q13938	ENSG00000105519
A0A1B0GVG4	ENSG00000269720
Q96F63	ENSG00000142039
