From	To
Q9P2X3	ENSG00000154059
Q16787	ENSG00000053747
Q8NEB9	ENSG00000078142
Q9UIV8	ENSG00000197641
Q9P0L0	ENSG00000101558
Q13636	ENSG00000168461
Q15311	ENSG00000017797
Q9H2B2	ENSG00000132872
O95427	ENSG00000197563
O14730	ENSG00000101782
Q9BVV7	ENSG00000075336
Q99747	ENSG00000134265
O15466	ENSG00000101638
P36952	ENSG00000206075
P0C7Q5	ENSG00000236396
P62314	ENSG00000167088
Q9BY50	ENSG00000166562
Q96P16	ENSG00000141425
P49257	ENSG00000074695
P23368	ENSG00000082212
Q15555	ENSG00000166974
Q5KU26	ENSG00000158270
P07492	ENSG00000134443
Q9C091	ENSG00000141449
A8MTL9	ENSG00000221887
A6NM36	ENSG00000206422
Q9UDY8	ENSG00000172175
Q96B23	ENSG00000152242
Q9Y4W6	ENSG00000141385
Q9H159	ENSG00000071991
Q9ULB5	ENSG00000081138
Q8J025	ENSG00000154856
O15165	ENSG00000168675
Q14126	ENSG00000046604
Q96ND0	ENSG00000177150
Q2V2M9	ENSG00000134775
Q8IYT4	ENSG00000167216
Q8IVV2	ENSG00000167210
P38405	ENSG00000141404
Q96RT6	ENSG00000212710
Q96RT6	ENSG00000282841
Q99708	ENSG00000101773
P43146	ENSG00000187323
O14732	ENSG00000141401
Q6UB98	ENSG00000101745
P25705	ENSG00000152234
Q6UXH8	ENSG00000183287
P15884	ENSG00000196628
P10415	ENSG00000171791
Q8IUK8	ENSG00000141668
O75952	ENSG00000154040
C9JCN9	ENSG00000226742
Q86T90	ENSG00000150477
O14490	ENSG00000170579
P25391	ENSG00000101680
O15118	ENSG00000141458
Q8TCD1	ENSG00000177576
Q8N3J2	ENSG00000101574
P31152	ENSG00000141639
P05120	ENSG00000197632
Q8TDF5	ENSG00000166342
Q9Y5B0	ENSG00000060069
Q96M91	ENSG00000172361
Q8NA19	ENSG00000154655
Q96CS2	ENSG00000152240
Q9P2G3	ENSG00000197705
Q96KN2	ENSG00000150656
Q9Y2J2	ENSG00000082397
P00167	ENSG00000166347
P55087	ENSG00000171885
Q9UJ96	ENSG00000178342
Q68DL7	ENSG00000206043
P47211	ENSG00000166573
Q10472	ENSG00000141429
Q92908	ENSG00000141448
Q6IA86	ENSG00000134759
Q8NCQ5	ENSG00000141665
Q5FWF5	ENSG00000141446
Q9H2F9	ENSG00000166510
Q9HC47	ENSG00000212710
Q9HC47	ENSG00000282841
Q9HCE0	ENSG00000152223
Q8IYD9	ENSG00000166845
Q7LBR1	ENSG00000255112
P33032	ENSG00000176136
Q96EN8	ENSG00000075643
Q9BYG4	ENSG00000178184
Q14574	ENSG00000134762
P22830	ENSG00000066926
Q6PI98	ENSG00000153391
P0C7T4	ENSG00000221887
Q719H9	ENSG00000134504
Q9UIS9	ENSG00000141644
O75928	ENSG00000078043
Q96N28	ENSG00000141391
Q9Y5U9	ENSG00000134049
Q9BYG7	ENSG00000134042
Q8N4Q0	ENSG00000180011
Q96EQ8	ENSG00000101695
Q8WVD3	ENSG00000134758
Q12798	ENSG00000177143
P19105	ENSG00000101608
O14950	ENSG00000118680
B2RU33	ENSG00000183206
Q8TF05	ENSG00000154845
Q9H777	ENSG00000141642
Q13433	ENSG00000141424
O95644	ENSG00000131196
A6NHR9	ENSG00000101596
