From	To
P22223	NP_001304124.1
P22223	NP_001304125.1
P22223	NP_001784.2
Q86WU2	NP_705690.2
Q86WU2	NP_919417.1
Q96A32	NP_001311387.1
Q96A32	NP_001311388.1
Q96A32	NP_037424.2
P53602	NP_002452.1
Q9P2J9	NP_001316857.1
Q9P2J9	NP_001316858.1
Q9P2J9	NP_001316859.1
Q9P2J9	NP_001316860.1
Q9P2J9	NP_001316861.1
Q9P2J9	NP_001316862.1
Q9P2J9	NP_001316863.1
Q9P2J9	NP_065837.1
O15530	NP_001248745.1
O15530	NP_002604.1
O15530	NP_112558.2
Q8NCN5	NP_001309046.1
Q8NCN5	NP_060460.4
Q8NCN5	XP_005256072.1
Q8NCN5	XP_005256073.1
Q8NCN5	XP_016878876.1
Q9BSU1	NP_001307469.1
Q9BSU1	NP_001307470.1
Q9BSU1	NP_001307471.1
Q9BSU1	NP_001307472.1
Q9BSU1	NP_079463.2
Q8IXQ8	NP_776167.2
Q8IXQ8	XP_006721092.1
Q6P996	NP_001272373.1
Q6P996	NP_001272374.1
Q6P996	NP_001272376.1
Q6P996	NP_001272377.1
Q6P996	NP_001272379.1
Q6P996	NP_055842.2
Q6P996	XP_006725288.1
Q6P996	XP_006725291.1
Q6P996	XP_006726660.1
Q6P996	XP_006726663.1
O60437	NP_002696.3
Q13951	NP_001746.1
Q13951	NP_074036.1
Q9HCN3	NP_067082.2
P15735	NP_000285.1
P15735	NP_001165903.1
Q7Z442	NP_001070248.1
Q7Z442	NP_001265352.1
Q7Z442	NP_001265354.1
Q7Z442	NP_443124.3
Q7Z443	NP_853514.1
P53350	NP_005021.2
Q9Y342	NP_057077.1
Q5K4E3	NP_001245219.1
Q5K4E3	NP_001245220.1
Q5K4E3	NP_775773.2
Q9BQR3	NP_001305324.1
Q9BQR3	NP_114154.1
Q3KNW1	NP_840101.1
P62244	NP_001010.2
P62244	NP_001025180.1
Q13425	NP_006741.1
O15047	NP_055527.1
O15047	XP_005255780.1
O15047	XP_006721169.1
O15047	XP_016879398.1
Q8WWL2	NP_115827.1
Q969X6	NP_116219.2
P61421	NP_004682.2
P07911	NP_001008390.1
P07911	NP_001265543.1
P07911	NP_003352.2
O60291	NP_001135761.2
O60291	NP_001135762.1
O60291	NP_001135763.2
O60291	NP_056061.1
O60291	XP_005255277.1
O60291	XP_005255278.1
Q12980	NP_001070818.1
Q6VN20	NP_001307167.1
Q6VN20	NP_001307168.1
Q6VN20	NP_001307169.1
Q6VN20	NP_065901.1
Q9H5N1	NP_079092.2
Q9BSW7	NP_057608.2
P04731	NP_005937.2
O95255	NP_001072996.1
O95255	NP_001162.4
Q9NVC3	NP_060701.1
Q9NVC3	XP_016878882.1
Q9NVC3	XP_016878886.1
Q8WYJ6	NP_443070.5
Q8TEQ0	NP_115543.3
O43761	NP_004200.2
Q6Q0C0	NP_115647.2
Q12931	NP_001258978.1
Q12931	NP_057376.2
Q8WW62	NP_653277.2
Q6ZMU5	NP_001008275.2
Q8TB96	NP_001291931.1
Q8TB96	NP_110417.2
Q9BRJ7	NP_115725.1
Q96A99	NP_001013680.1
Q96A99	NP_001315537.1
Q96DX4	NP_001292092.1
Q96DX4	NP_001292093.1
Q96DX4	NP_001292111.1
Q96DX4	NP_588609.1
Q96DX4	XP_005256277.1
P82930	NP_001287829.1
P82930	NP_076425.1
O15524	NP_003736.1
B4DS77	NP_001138676.2
B4DS77	NP_001138677.2
Q7Z614	NP_001138444.1
Q7Z614	NP_699168.1
Q7Z614	NP_878274.1
P35346	NP_001044.1
P35346	NP_001166031.1
P50225	NP_001046.2
P50225	NP_803565.1
P50225	NP_803566.1
P50225	NP_803878.1
P50225	NP_803880.1
P50225	XP_016879095.1
P50225	XP_016879100.1
P50225	XP_016879101.1
P50225	XP_016879102.1
Q96A37	NP_001165286.1
Q96A37	NP_001165287.1
Q96A37	NP_849163.1
Q96A37	XP_016878402.1
P23975	NP_001034.1
P23975	NP_001165972.1
P23975	NP_001165973.1
P23975	NP_001165975.1
P23975	XP_006721326.1
P23975	XP_011521597.1
Q13084	NP_006419.2
Q13084	XP_005255098.1
Q13084	XP_011520653.1
Q52WX2	NP_001019572.1
Q15393	NP_036558.3
Q9BSN7	NP_001243470.1
Q9BSN7	NP_078876.2
Q96Q15	NP_055907.3
Q9NRF2	NP_001139267.1
Q9NRF2	NP_001139268.1
Q9NRF2	NP_001139269.1
Q9NRF2	NP_001139284.1
Q9NRF2	NP_001295222.1
Q9NRF2	NP_001295223.1
Q9NRF2	NP_056318.2
Q9NRF2	XP_016878603.1
Q9NRF2	XP_016878604.1
Q9NRF2	XP_016878605.1
Q8IY92	NP_115820.2
Q71RH2	NP_001305433.1
Q71RH2	NP_113666.2
Q71RH2	XP_016879242.1
Q71RH2	XP_016879243.1
Q6NT04	NP_149985.2
Q8IUW3	NP_689552.2
Q8IUW3	XP_005256336.1
Q8N339	NP_789846.1
P50226	NP_001045.1
P50226	NP_803564.1
Q05952	NP_005416.1
Q02127	NP_001352.2
Q9ULW5	NP_001294982.1
Q9ULW5	NP_055168.2
Q9NSC2	NP_001121364.1
Q9NSC2	NP_002959.2
Q9NSC2	XP_006721304.1
Q9NSC2	XP_011521556.1
Q6UXD5	NP_001107571.1
Q6UXD5	NP_001107572.1
Q6UXD5	NP_001230261.1
Q6UXD5	NP_001230262.1
Q6UXD5	NP_036542.1
Q6UXD5	NP_963869.2
P19784	NP_001887.1
Q66K89	NP_001275705.1
Q66K89	NP_001275707.1
Q66K89	NP_004415.3
P30519	NP_001120676.1
P30519	NP_001120677.1
P30519	NP_001120678.1
P30519	NP_001273196.1
P30519	NP_001273197.1
P30519	NP_001273198.1
P30519	NP_001273199.1
P30519	NP_001273200.1
P30519	NP_002125.3
P30519	XP_016878685.1
P30519	XP_016878686.1
Q9Y4F3	NP_001171927.1
Q9Y4F3	NP_001171928.1
Q9Y4F3	NP_055462.2
Q9Y4F3	XP_005255764.1
Q9Y4F3	XP_016879390.1
Q96L46	NP_115706.1
Q9H7Z6	NP_115564.2
Q9H7Z6	NP_892003.2
Q15011	NP_001010989.1
Q15011	NP_001259032.1
Q15011	NP_055500.1
Q9ULV5	NP_001035757.1
Q9ULV5	NP_001529.2
P00738	NP_001119574.1
P00738	NP_001305067.1
P00738	NP_005134.1
Q1X8D7	NP_001155047.1
Q1X8D7	NP_060766.5
Q96A59	NP_001017967.2
Q96A59	NP_001258258.1
Q96A59	NP_443090.4
Q9BUT9	NP_001318158.1
Q9BUT9	NP_001318159.1
Q9BUT9	NP_612427.2
P56270	NP_001036004.1
P56270	NP_001263204.1
P56270	NP_001263205.1
P56270	NP_002374.2
Q96BJ8	NP_078988.2
Q9UPT6	NP_001035529.1
Q9UPT6	NP_001305781.1
Q9UPT6	NP_055948.2
