From	To
Q9P2X3	NP_060909.1
Q16787	NP_000218.3
Q16787	NP_001121189.2
Q16787	NP_001121190.2
Q16787	NP_001289925.1
Q16787	NP_937762.2
Q8NEB9	NP_002638.2
Q9UIV8	NP_001294852.1
Q9UIV8	NP_036529.1
Q9P0L0	NP_003565.4
Q9P0L0	NP_919415.2
Q13636	NP_006859.2
Q15311	NP_006779.1
Q9H2B2	NP_065834.1
O95427	NP_036459.1
O95427	NP_789744.1
O14730	NP_003822.2
Q9BVV7	NP_054896.2
Q99747	NP_003817.1
Q99747	XP_011524058.1
O15466	NP_001294915.1
O15466	NP_001294916.1
O15466	NP_037437.2
P36952	NP_002630.2
P0C7Q5	NP_001269229.1
P62314	NP_001278845.1
P62314	NP_008869.1
Q9BY50	NP_150596.1
Q96P16	NP_001290340.1
Q96P16	NP_001290341.1
Q96P16	NP_001290342.1
Q96P16	NP_060640.2
Q96P16	XP_011524350.1
Q96P16	XP_011524351.1
Q96P16	XP_011524352.1
P49257	NP_005561.1
P23368	NP_001161807.1
P23368	NP_002387.1
Q15555	NP_001137298.1
Q15555	NP_001137299.1
Q15555	NP_001243349.1
Q15555	NP_055083.1
Q5KU26	NP_569057.1
P07492	NP_001012530.1
P07492	NP_001012531.1
P07492	NP_002082.2
Q9C091	NP_001136438.1
A8MTL9	NP_001116838.1
A6NM36	NP_001099051.1
Q9UDY8	NP_006776.1
Q9UDY8	NP_776216.1
Q96B23	NP_001008240.1
Q96B23	NP_659492.1
Q96B23	XP_011524124.1
Q96B23	XP_016881044.1
Q9Y4W6	NP_006787.2
Q9H159	NP_001257957.1
Q9H159	NP_066976.1
Q9ULB5	NP_001304143.1
Q9ULB5	NP_004352.2
Q9ULB5	NP_387450.1
Q9ULB5	XP_016881012.1
Q8J025	NP_694545.1
O15165	NP_001003674.1
O15165	NP_001003675.1
O15165	NP_001263178.1
O15165	NP_001263180.1
O15165	NP_852146.1
O15165	NP_852147.1
O15165	XP_005258197.1
O15165	XP_006722416.1
O15165	XP_006722417.1
O15165	XP_011524040.1
O15165	XP_016881454.1
O15165	XP_016881455.1
O15165	XP_016881456.1
O15165	XP_016881457.1
O15165	XP_016881458.1
O15165	XP_016881459.1
O15165	XP_016881460.1
Q14126	NP_001934.2
Q96ND0	NP_001092271.1
Q96ND0	NP_689565.2
Q2V2M9	NP_001268668.1
Q2V2M9	NP_001268669.1
Q2V2M9	NP_079411.2
Q2V2M9	XP_005258412.1
Q8IYT4	NP_112593.2
Q8IYT4	XP_006722617.1
Q8IVV2	NP_001138944.1
Q8IVV2	NP_001138945.1
Q8IVV2	NP_001166600.1
Q8IVV2	NP_653213.6
Q8IVV2	XP_011524113.1
Q8IVV2	XP_016881037.1
P38405	NP_001135811.1
P38405	NP_001248372.1
P38405	NP_001248373.1
P38405	NP_892023.1
Q96RT6	NP_758441.2
Q99708	NP_002885.1
Q99708	NP_976036.1
Q99708	NP_976037.1
Q99708	XP_006722582.1
Q99708	XP_006722583.1
Q99708	XP_006722584.1
Q99708	XP_011524434.1
P43146	NP_005206.2
O14732	NP_055029.1
Q6UB98	NP_001077094.1
Q6UB98	NP_001190985.1
Q6UB98	NP_056023.3
Q6UB98	XP_005258149.1
Q6UB98	XP_005258150.1
Q6UB98	XP_016881152.1
P25705	NP_001001935.1
P25705	NP_001001937.1
P25705	NP_001244263.1
P25705	NP_001244264.1
P25705	NP_004037.1
Q6UXH8	NP_597716.1
P15884	NP_001077431.1
P15884	NP_001230155.2
P15884	NP_001230156.1
P15884	NP_001230157.1
P15884	NP_001230159.1
P15884	NP_001230160.1
P15884	NP_001230161.1
P15884	NP_001230162.1
P15884	NP_001230163.1
P15884	NP_001230164.1
P15884	NP_001230165.1
P15884	NP_001293136.1
P15884	NP_001293137.1
P15884	NP_001335140.1
P15884	NP_001335141.1
P15884	NP_001335142.1
P15884	NP_001335143.1
P15884	NP_001335144.1
P15884	NP_001335145.1
P15884	NP_001335146.1
P15884	NP_001335147.1
P15884	NP_001335148.1
P15884	NP_001335149.1
P15884	NP_003190.1
P15884	XP_005266796.2
P15884	XP_006722599.1
P15884	XP_006722600.1
