From	To
A6H8Y1	NP_060899.2
Q9BXJ4	NP_112207.1
Q9BXJ4	NP_852100.3
O15018	NP_835260.2
O15018	XP_011512297.1
P50479	NP_001124499.1
P50479	NP_003678.2
Q9NR12	NP_005442.2
Q9NR12	NP_976227.1
Q9NR12	NP_998801.1
Q9BRX2	NP_057030.3
P35408	NP_000949.1
Q9H814	NP_115553.2
Q9NZM6	NP_001245377.1
Q9NZM6	NP_001245378.1
Q9NZM6	NP_001287850.1
Q9NZM6	NP_055201.2
Q9NZM6	XP_011541620.1
Q8NBM8	NP_001287983.1
Q8NBM8	NP_001287986.1
Q8NBM8	NP_076933.3
Q08499	NP_001098101.1
Q08499	NP_001159371.1
Q08499	NP_001184147.1
Q08499	NP_001184148.1
Q08499	NP_001184149.1
Q08499	NP_001184150.1
Q08499	NP_001184151.1
Q08499	NP_001184152.1
Q08499	NP_006194.2
Q08499	XP_005248595.1
Q08499	XP_011541773.1
Q08499	XP_011541775.1
Q08499	XP_016865055.1
P16499	NP_000431.2
O75340	NP_001254485.1
O75340	NP_001254486.1
O75340	NP_001254487.1
O75340	NP_001254488.1
O75340	NP_037364.1
O95263	NP_001025022.1
O95263	NP_001025023.1
O95263	NP_001025024.1
O95263	NP_001025025.1
O95263	NP_003710.1
P78337	NP_002644.4
O43164	NP_055634.3
O43164	XP_016865588.1
Q9NYY3	NP_001239155.1
Q9NYY3	NP_006613.2
O43678	NP_001171941.1
O43678	NP_002479.1
Q8NC24	NP_001123501.1
Q8NC24	NP_776189.3
Q9BWV2	NP_114158.2
Q9BWV2	XP_011541968.1
Q9BWV2	XP_016865437.1
P21796	NP_003365.1
P21796	XP_005272132.1
P21796	XP_016865310.1
P21796	XP_016865311.1
P21796	XP_016865312.1
Q52LC2	NP_001017971.1
Q52LC2	XP_011542025.1
Q52LC2	XP_016865530.1
Q52LC2	XP_016865531.1
Q52LC2	XP_016865532.1
Q52LC2	XP_016865533.1
Q52LC2	XP_016865534.1
Q52LC2	XP_016865535.1
Q52LC2	XP_016865536.1
Q9BTT4	NP_115662.2
O43513	NP_001094286.1
O43513	NP_004261.1
O15460	NP_001017973.1
O15460	NP_001017974.1
O15460	NP_001136070.1
O15460	NP_001136071.1
O15460	NP_004190.1
O15460	XP_005272173.1
O15460	XP_005272174.1
O15460	XP_005272175.1
O15460	XP_005272176.1
O15460	XP_005272177.1
O15460	XP_006714791.1
O15460	XP_006714792.1
O15460	XP_006714793.1
O15460	XP_016865500.1
Q9Y5G4	NP_061744.1
Q9Y5G4	NP_114478.1
Q9Y5F8	NP_061750.1
Q9Y5F8	NP_115272.1
Q9Y5G2	NP_061746.1
Q9Y5G2	NP_115267.1
Q9UN70	NP_002579.2
Q9UN70	NP_115778.1
Q969Q5	NP_001026847.1
Q969Q5	NP_570137.2
Q9H2T7	NP_075048.1
Q96E17	NP_001304844.1
Q96E17	NP_612462.1
P20936	NP_002881.1
P20936	NP_072179.1
Q9NSD7	NP_057652.1
Q96MT1	NP_001186309.1
Q96MT1	NP_001186310.1
Q96MT1	NP_001186311.1
Q96MT1	NP_001186312.1
Q96MT1	NP_653327.1
Q96MT1	XP_016864627.1
Q7L0R7	NP_055716.1
Q7L0R7	XP_005265897.1
Q7L0R7	XP_005265898.1
Q7L0R7	XP_005265899.1
Q7L0R7	XP_005265900.1
Q7L0R7	XP_005265901.1
Q7L0R7	XP_005265902.1
Q7L0R7	XP_011532768.1
Q7L0R7	XP_011532769.1
P54136	NP_002878.2
Q15545	NP_005633.2
Q16594	NP_001015892.1
Q16594	NP_003178.1
P26639	NP_001245366.1
P26639	NP_001245367.1
P26639	NP_689508.3
Q9C0I1	NP_001035536.1
Q9C0I1	NP_001281272.1
Q9C0I1	NP_001281273.1
Q15319	NP_002691.1
C9JQI7	NP_001034852.3
C9JQI7	XP_006714733.1
C9JQI7	XP_011541854.1
C9JQI7	XP_011541855.1
C9JQI7	XP_011541866.1
C9JQI7	XP_016865193.1
O94993	NP_001295094.1
O94993	NP_008948.1
O94993	NP_848511.1
O75094	NP_001258875.1
O75094	NP_003053.1
Q9Y6H5	NP_001229864.1
Q9Y6H5	NP_001295029.1
Q9Y6H5	NP_001295034.1
Q9Y6H5	NP_001295035.1
Q9Y6H5	NP_001295036.1
Q9Y6H5	NP_001295037.1
Q9Y6H5	NP_001295038.1
Q9Y6H5	NP_005451.2
Q9Y6H5	XP_011542039.1
Q9Y6H5	XP_011542040.1
Q9Y6H5	XP_011542041.1
Q9Y6H5	XP_011542043.1
Q9Y6H5	XP_011542045.1
Q9Y6H5	XP_016865567.1
Q9Y6H5	XP_016865571.1
Q9H9B4	NP_001309906.1
Q9H9B4	NP_073591.2
Q9BQI6	NP_115666.2
Q9BQI6	XP_016865468.1
Q96QR1	NP_443095.2
Q13309	NP_001230049.1
Q13309	NP_005974.2
Q13309	NP_116026.1
Q96A61	NP_116154.1
Q96DC7	NP_001287909.1
Q96DC7	NP_001287911.1
Q96DC7	NP_060972.3
Q96DC7	XP_011535970.1
Q96DC7	XP_016865109.1
Q9Y3B3	NP_001157941.1
Q9Y3B3	NP_861974.1
Q9BVK6	NP_059980.2
Q08629	NP_004589.1
Q96EA4	NP_001316570.1
Q96EA4	NP_060255.3
Q99729	NP_004490.2
Q99729	NP_112556.2
Q96T51	NP_001035541.1
Q96T51	NP_001035542.1
Q96T51	NP_079434.3
Q96T51	XP_016865384.1
Q92552	NP_001273677.1
Q92552	NP_055899.2
Q9NP92	NP_057724.2
Q9Y5G7	NP_061742.1
Q9Y5G7	NP_114475.1
O00254	NP_001243495.1
O00254	NP_004092.1
Q8NBW4	NP_001245215.1
Q8NBW4	NP_001245216.1
Q8NBW4	NP_775785.2
Q8NBW4	XP_006714600.1
Q8NBW4	XP_006714601.1
Q8NBW4	XP_006714602.1
Q8NBW4	XP_011541475.1
Q8NBW4	XP_011541476.1
Q9Y666	NP_006589.2
Q2M3G4	NP_001166171.1
Q2M3G4	NP_597713.2
Q2M3G4	XP_005271942.1
Q2M3G4	XP_005271943.1
Q2M3G4	XP_011541469.1
Q92187	NP_005659.1
Q92187	NP_778222.1
O95391	NP_006416.3
O95391	XP_011532720.1
P63208	NP_008861.2
P63208	NP_733779.1
P36406	NP_001647.1
P36406	NP_150230.1
P36406	NP_150231.1
P36406	XP_016864933.1
Q96PL1	NP_473364.1
Q8WU08	NP_001106195.1
Q8WU08	NP_659438.1
Q695T7	NP_001003841.1
O60749	NP_001265128.1
O60749	NP_003091.2
Q15025	NP_001239314.1
Q15025	NP_001239315.1
Q15025	NP_001239319.1
Q15025	NP_001239320.1
Q15025	NP_001239321.1
Q15025	NP_001239322.1
Q15025	NP_001245383.1
Q15025	NP_001245384.1
Q15025	NP_001245385.1
Q15025	NP_006049.3
Q15025	XP_006714814.1
Q15025	XP_006714815.1
P62266	NP_001016.1
O76082	NP_001295051.1
O76082	NP_003051.1
P31040	NP_001281261.1
P31040	NP_004159.2
Q99717	NP_001001419.1
Q99717	NP_001001420.1
Q99717	NP_005894.3
Q99717	XP_016864959.1
Q9H2E6	NP_001287709.1
Q9H2E6	NP_065847.1
Q9C004	NP_001120968.1
Q9C004	NP_001280218.1
Q9C004	NP_001280219.1
Q9C004	NP_112226.2
Q9C004	XP_011535987.1
Q9C004	XP_016865399.1
Q6ZNK6	NP_001092691.1
Q17RP2	NP_001230182.1
Q17RP2	NP_112215.1
Q9BVS4	NP_001153221.1
Q9BVS4	NP_060813.2
Q6PF05	NP_001304878.1
